"","Sector_Title","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1","Accommodation and Food Services",4109,4085,4810,3757,4027,4090,5220,5017,4142,5661,5210,3851,3959,3420,921
"2","Administrative and Support and Waste Management and Remediation Services",6822,8273,7989,9227,8739,8301,8925,7897,7577,7605,8319,8768,7902,7916,1944
"3","Agriculture, Forestry, Fishing and Hunting",5093,4907,5134,5073,5167,5265,5914,4419,4585,4732,5009,3995,4548,4274,577
"4","Arts, Entertainment, and Recreation",1801,1761,1829,1625,2032,2040,2519,2038,2211,1752,2288,1923,2021,1691,468
"5","Construction",106621,105333,106170,110886,106578,104448,103367,100121,87877,84198,80006,75582,67958,66258,19808
"6","Educational Services",3414,3559,4405,3241,3440,3100,3492,2973,3501,3381,3306,2226,2786,2313,644
"7","Finance and Insurance",195,214,188,156,152,172,182,129,187,145,170,131,98,71,18
"8","Health Care and Social Assistance",7913,6559,5706,5425,6360,5899,5901,7643,6959,7167,7106,5522,4286,4141,1251
"9","Information",1050,971,1013,755,691,720,925,861,827,693,699,544,528,435,79
"10","Management of Companies and EnterprisesT",13,31,30,3,4,17,16,35,10,9,34,10,17,26,12
"11","Manufacturing",91018,89664,83264,80921,77803,78165,76659,75398,72070,60095,57536,52930,49559,45960,12107
"12","Mining, Quarrying, and Oil and Gas Extraction",876,1313,1463,2532,2276,2566,1341,1734,1981,1565,1577,1745,1383,1245,271
"13","Other Services (except Public Administration)",9893,9014,9580,8797,7345,9399,10201,9183,8541,8551,8570,7556,7199,7395,1892
"14","Professional, Scientific, and Technical Services",1693,1603,1432,1379,1334,1424,1568,1693,1486,1441,1270,1208,1251,1142,294
"15","Public Administration",8787,7566,6670,7155,8038,7553,8645,9398,10179,10383,9722,6722,6032,6188,1593
"16","Real Estate and Rental and Leasing",1764,1777,1563,1520,1905,1659,1826,1722,1700,2289,1775,1611,1344,1368,282
"17","Retail Trade",8322,8943,7818,7995,8193,8645,11020,10045,8902,7288,8413,7292,7126,7064,1730
"18","Transportation and Warehousing",7047,7839,7145,6876,7703,7380,8185,8464,6972,6408,7426,6046,5992,4952,1321
"19","Utilities",3301,2659,2707,2978,2689,2535,3053,2545,2503,2324,2574,2333,2640,2592,818
"20","Wholesale Trade",7884,8015,8020,8965,9105,10209,10810,11313,11502,9259,9331,8225,6898,6818,1975
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,4
